ID,churn,join_time,vip,product,expenditure,call,traffic,state,IMEI
219,0,2014/6/29,0,99002158,75.472,0.0,213.31,0.0,
220,0,2014/5/31,0,99003577,70.995,218.67,0.01,0.0,86309202.0
221,0,2014/1/23,0,99002147,62.127,102.51,700.32,0.0,86280202.0
222,0,2014/1/7,0,25101,0.0,0.0,0.0,3.0,
223,0,2010/3/3,0,99003578,0.0,0.0,0.0,1.0,
224,0,2014/1/3,0,99003576,88.903,593.22,0.73,0.0,
225,1,2013/8/28,0,99106763,0.0,0.0,0.0,6.0,
226,0,2014/7/12,0,25101,0.0,0.0,0.0,7.0,
227,1,2014/2/13,0,99005934,0.0,0.0,0.0,,
228,1,2013/1/16,0,99005046,0.0,0.0,0.0,6.0,
229,1,2013/10/8,0,99112822,0.595,0.0,0.0,6.0,
230,0,2013/1/11,0,99002307,0.0,0.0,0.0,5.0,
231,0,2004/11/14,0,99003577,104.38,823.94,442.85,0.0,1313500.0
232,0,2014/3/27,0,99114784,4.189,0.0,0.0,7.0,
233,0,2014/5/15,0,99112822,0.0,0.0,0.0,3.0,
234,0,2011/10/19,0,99003578,80.481,0.0,0.09,0.0,
235,0,2012/1/5,0,99005046,63.648,154.31,235.83,0.0,35483305.0
236,0,2014/1/14,0,99005934,29.313,0.0,0.0,0.0,
237,0,2014/9/9,0,25101,9.434,59.65,0.0,1.0,
238,0,2014/9/3,0,99112822,30.792,431.91,1068.45,1.0,
239,0,2014/4/13,0,25139,40.311,368.45,0.07,1.0,
240,1,2013/11/16,0,25213,0.0,0.0,0.0,,
241,0,2013/6/30,0,99003577,117.674,418.28,313.58,0.0,35639702.0
242,0,2014/5/29,0,99106763,0.135,0.0,0.0,7.0,
243,0,2013/7/13,1,99002138,111.243,459.05,701.74,0.0,86113802.0
244,0,2014/5/29,0,99002144,271.3,575.11,358.51,0.0,35755505.0
245,0,2014/6/2,0,99114784,31.132,0.0,450.49,1.0,
246,0,2013/12/21,0,99002305,143.909,613.25,302.14,0.0,1314800.0
247,0,2014/7/28,0,99003576,113.388,358.13,63.14,0.0,86349302.0
248,0,2014/5/12,0,99003576,60.877,489.75,32.57,0.0,
249,0,2014/8/10,0,25101,0.0,0.0,0.0,3.0,
250,0,2014/5/17,0,99005814,0.0,0.0,0.0,5.0,
251,0,2013/11/27,0,88115262,0.0,0.0,0.0,7.0,
252,0,2014/7/4,0,25101,9.434,0.0,0.0,1.0,
253,0,2014/8/18,0,25101,0.0,0.0,0.0,3.0,
254,0,2013/12/18,0,99005934,29.631,0.33,0.0,0.0,
255,1,2013/7/12,0,99106763,0.0,0.0,0.0,6.0,
256,0,2014/6/12,0,25101,0.135,0.0,0.0,7.0,
257,0,2012/10/16,0,99002147,80.842,294.79,189.93,0.0,86272601.0
258,0,2014/1/21,0,99003577,42.104,199.22,52.98,0.0,
259,0,2014/7/17,0,25101,9.434,0.0,0.0,1.0,
260,0,2014/6/14,0,25101,0.0,0.0,0.0,3.0,
261,0,2012/12/9,0,99002147,33.599,40.47,159.76,0.0,86582601.0
262,1,2013/6/4,0,99106763,0.0,0.0,0.0,6.0,
263,1,2014/10/18,0,99112822,0.0,0.0,0.0,0.0,
264,0,2014/8/3,0,99114784,0.0,0.0,0.01,3.0,
265,0,2010/3/3,0,99005046,30.641,165.05,26.62,0.0,86417902.0
266,1,2012/10/8,0,99003577,91.543,26.08,18.51,,
267,1,2011/12/5,0,99002147,0.0,0.0,0.0,6.0,
268,1,2013/11/27,0,99112822,3.748,0.0,0.0,4.0,
269,0,2011/12/2,0,99003576,87.822,0.0,0.0,5.0,
270,0,2014/9/1,0,25101,19.668,355.51,0.0,1.0,
271,0,2014/4/30,0,99003576,60.468,414.34,331.95,0.0,86342502.0
272,0,2014/2/20,0,99002309,174.141,759.62,573.07,0.0,
273,0,2012/12/26,0,99005799,4.717,0.0,3.77,0.0,
274,0,2013/10/25,0,700001,0.245,0.0,10.85,0.0,
275,0,2014/6/27,0,99003576,43.91,2.1,4.35,5.0,
276,1,2013/5/22,0,99106763,0.0,0.0,0.0,6.0,
277,1,2012/10/1,0,40000001,0.0,0.0,0.0,6.0,
278,0,2014/9/17,0,99003577,96.288,26.23,467.0,0.0,
279,1,2014/8/24,0,99114783,0.0,0.0,0.0,0.0,
280,0,2012/11/27,0,99003577,60.411,0.0,0.0,5.0,
281,0,2014/7/15,0,99112822,0.0,0.0,0.0,7.0,
282,1,2014/4/8,0,99114783,0.018,0.0,0.0,6.0,
283,0,2014/6/28,0,25101,11.321,0.0,0.0,1.0,
284,0,2014/5/27,0,99114783,0.0,0.0,0.0,3.0,
285,1,2013/2/27,0,99003577,0.0,0.0,0.0,6.0,
286,0,2014/7/6,0,25101,0.0,0.0,0.0,3.0,
287,0,2014/8/11,0,25101,0.0,0.0,0.0,3.0,
